Iteración,Valor función,Norma gradiente,Δx
122,9.7637e-02,1.3293e-02,1.3374e-02
123,9.7461e-02,1.3212e-02,1.3293e-02
124,9.7287e-02,1.3134e-02,1.3212e-02
125,9.7115e-02,1.3056e-02,1.3134e-02
126,9.6945e-02,1.2979e-02,1.3056e-02
127,9.6777e-02,1.2903e-02,1.2979e-02
128,9.6611e-02,1.2829e-02,1.2903e-02
129,9.6447e-02,1.2755e-02,1.2829e-02
130,9.6285e-02,1.2683e-02,1.2755e-02
131,9.6124e-02,1.2611e-02,1.2683e-02
132,9.5966e-02,1.2541e-02,1.2611e-02
133,9.5809e-02,1.2471e-02,1.2541e-02
134,9.5654e-02,1.2403e-02,1.2471e-02
135,9.5500e-02,1.2335e-02,1.2403e-02
136,9.5348e-02,1.2268e-02,1.2335e-02
137,9.5198e-02,1.2202e-02,1.2268e-02
138,9.5050e-02,1.2137e-02,1.2202e-02
139,9.4903e-02,1.2073e-02,1.2137e-02
140,9.4758e-02,1.2009e-02,1.2073e-02
141,9.4614e-02,1.1947e-02,1.2009e-02
142,9.4471e-02,1.1885e-02,1.1947e-02
143,9.4330e-02,1.1824e-02,1.1885e-02
144,9.4191e-02,1.1764e-02,1.1824e-02
145,9.4053e-02,1.1704e-02,1.1764e-02
146,9.3916e-02,1.1645e-02,1.1704e-02
147,9.3781e-02,1.1587e-02,1.1645e-02
148,9.3647e-02,1.1530e-02,1.1587e-02
149,9.3515e-02,1.1473e-02,1.1530e-02
150,9.3383e-02,1.1417e-02,1.1473e-02
151,9.3253e-02,1.1362e-02,1.1417e-02
152,9.3124e-02,1.1307e-02,1.1362e-02
153,9.2997e-02,1.1253e-02,1.1307e-02
154,9.2871e-02,1.1200e-02,1.1253e-02
155,9.2745e-02,1.1147e-02,1.1200e-02
156,9.2621e-02,1.1095e-02,1.1147e-02
157,9.2499e-02,1.1044e-02,1.1095e-02
158,9.2377e-02,1.0993e-02,1.1044e-02
159,9.2256e-02,1.0942e-02,1.0993e-02
160,9.2137e-02,1.0893e-02,1.0942e-02
161,9.2019e-02,1.0843e-02,1.0893e-02
162,9.1901e-02,1.0795e-02,1.0843e-02
163,9.1785e-02,1.0747e-02,1.0795e-02
164,9.1670e-02,1.0699e-02,1.0747e-02
165,9.1555e-02,1.0652e-02,1.0699e-02
166,9.1442e-02,1.0606e-02,1.0652e-02
167,9.1330e-02,1.0560e-02,1.0606e-02
168,9.1219e-02,1.0514e-02,1.0560e-02
169,9.1108e-02,1.0469e-02,1.0514e-02
170,9.0999e-02,1.0424e-02,1.0469e-02
171,9.0891e-02,1.0380e-02,1.0424e-02
172,9.0783e-02,1.0337e-02,1.0380e-02
173,9.0677e-02,1.0294e-02,1.0337e-02
174,9.0571e-02,1.0251e-02,1.0294e-02
175,9.0466e-02,1.0209e-02,1.0251e-02
176,9.0362e-02,1.0167e-02,1.0209e-02
177,9.0259e-02,1.0125e-02,1.0167e-02
178,9.0156e-02,1.0084e-02,1.0125e-02
179,9.0055e-02,1.0044e-02,1.0084e-02
180,8.9954e-02,1.0004e-02,1.0044e-02
181,8.9854e-02,9.9640e-03,1.0004e-02
182,8.9755e-02,9.9247e-03,9.9640e-03
183,8.9657e-02,9.8857e-03,9.9247e-03
184,8.9559e-02,9.8471e-03,9.8857e-03
185,8.9463e-02,9.8090e-03,9.8471e-03
186,8.9367e-02,9.7712e-03,9.8090e-03
187,8.9271e-02,9.7337e-03,9.7712e-03
188,8.9177e-02,9.6967e-03,9.7337e-03
189,8.9083e-02,9.6599e-03,9.6967e-03
190,8.8990e-02,9.6236e-03,9.6599e-03
191,8.8897e-02,9.5876e-03,9.6236e-03
192,8.8806e-02,9.5519e-03,9.5876e-03
193,8.8715e-02,9.5166e-03,9.5519e-03
194,8.8624e-02,9.4816e-03,9.5166e-03
195,8.8534e-02,9.4469e-03,9.4816e-03
196,8.8445e-02,9.4125e-03,9.4469e-03
197,8.8357e-02,9.3785e-03,9.4125e-03
198,8.8269e-02,9.3448e-03,9.3785e-03
199,8.8182e-02,9.3114e-03,9.3448e-03
200,8.8095e-02,9.2783e-03,9.3114e-03
201,8.8009e-02,9.2455e-03,9.2783e-03
202,8.7924e-02,9.2130e-03,9.2455e-03
203,8.7839e-02,9.1807e-03,9.2130e-03
204,8.7755e-02,9.1488e-03,9.1807e-03
205,8.7672e-02,9.1172e-03,9.1488e-03
206,8.7589e-02,9.0858e-03,9.1172e-03
207,8.7506e-02,9.0547e-03,9.0858e-03
208,8.7424e-02,9.0239e-03,9.0547e-03
209,8.7343e-02,8.9934e-03,9.0239e-03
210,8.7262e-02,8.9631e-03,8.9934e-03
211,8.7182e-02,8.9331e-03,8.9631e-03
212,8.7103e-02,8.9033e-03,8.9331e-03
213,8.7023e-02,8.8738e-03,8.9033e-03
214,8.6945e-02,8.8446e-03,8.8738e-03
215,8.6867e-02,8.8156e-03,8.8446e-03
216,8.6789e-02,8.7868e-03,8.8156e-03
217,8.6712e-02,8.7583e-03,8.7868e-03
218,8.6635e-02,8.7300e-03,8.7583e-03
219,8.6559e-02,8.7020e-03,8.7300e-03
220,8.6484e-02,8.6742e-03,8.7020e-03
221,8.6409e-02,8.6466e-03,8.6742e-03
222,8.6334e-02,8.6192e-03,8.6466e-03
223,8.6260e-02,8.5921e-03,8.6192e-03
224,8.6186e-02,8.5652e-03,8.5921e-03
225,8.6113e-02,8.5385e-03,8.5652e-03
226,8.6040e-02,8.5120e-03,8.5385e-03
227,8.5968e-02,8.4858e-03,8.5120e-03
228,8.5896e-02,8.4597e-03,8.4858e-03
229,8.5824e-02,8.4339e-03,8.4597e-03
230,8.5753e-02,8.4083e-03,8.4339e-03
231,8.5683e-02,8.3828e-03,8.4083e-03
232,8.5613e-02,8.3576e-03,8.3828e-03
233,8.5543e-02,8.3325e-03,8.3576e-03
234,8.5474e-02,8.3077e-03,8.3325e-03
235,8.5405e-02,8.2831e-03,8.3077e-03
236,8.5336e-02,8.2586e-03,8.2831e-03
237,8.5268e-02,8.2343e-03,8.2586e-03
238,8.5200e-02,8.2102e-03,8.2343e-03
239,8.5133e-02,8.1863e-03,8.2102e-03
240,8.5066e-02,8.1626e-03,8.1863e-03
241,8.5000e-02,8.1391e-03,8.1626e-03
242,8.4933e-02,8.1157e-03,8.1391e-03
243,8.4868e-02,8.0925e-03,8.1157e-03
244,8.4802e-02,8.0695e-03,8.0925e-03
245,8.4737e-02,8.0467e-03,8.0695e-03
246,8.4673e-02,8.0240e-03,8.0467e-03
247,8.4608e-02,8.0015e-03,8.0240e-03
248,8.4544e-02,7.9791e-03,8.0015e-03
249,8.4481e-02,7.9569e-03,7.9791e-03
250,8.4417e-02,7.9349e-03,7.9569e-03
251,8.4355e-02,7.9131e-03,7.9349e-03
252,8.4292e-02,7.8914e-03,7.9131e-03
253,8.4230e-02,7.8698e-03,7.8914e-03
254,8.4168e-02,7.8484e-03,7.8698e-03
255,8.4107e-02,7.8272e-03,7.8484e-03
256,8.4045e-02,7.8061e-03,7.8272e-03
257,8.3985e-02,7.7852e-03,7.8061e-03
258,8.3924e-02,7.7644e-03,7.7852e-03
259,8.3864e-02,7.7437e-03,7.7644e-03
260,8.3804e-02,7.7232e-03,7.7437e-03
261,8.3744e-02,7.7029e-03,7.7232e-03
262,8.3685e-02,7.6826e-03,7.7029e-03
263,8.3626e-02,7.6626e-03,7.6826e-03
264,8.3567e-02,7.6426e-03,7.6626e-03
265,8.3509e-02,7.6228e-03,7.6426e-03
266,8.3451e-02,7.6032e-03,7.6228e-03
267,8.3393e-02,7.5836e-03,7.6032e-03
268,8.3336e-02,7.5642e-03,7.5836e-03
269,8.3279e-02,7.5449e-03,7.5642e-03
270,8.3222e-02,7.5258e-03,7.5449e-03
271,8.3165e-02,7.5068e-03,7.5258e-03
272,8.3109e-02,7.4879e-03,7.5068e-03
273,8.3053e-02,7.4691e-03,7.4879e-03
274,8.2997e-02,7.4505e-03,7.4691e-03
275,8.2942e-02,7.4320e-03,7.4505e-03
276,8.2887e-02,7.4136e-03,7.4320e-03
277,8.2832e-02,7.3953e-03,7.4136e-03
278,8.2777e-02,7.3772e-03,7.3953e-03
279,8.2723e-02,7.3591e-03,7.3772e-03
280,8.2669e-02,7.3412e-03,7.3591e-03
281,8.2615e-02,7.3234e-03,7.3412e-03
282,8.2561e-02,7.3057e-03,7.3234e-03
283,8.2508e-02,7.2881e-03,7.3057e-03
284,8.2455e-02,7.2707e-03,7.2881e-03
285,8.2402e-02,7.2533e-03,7.2707e-03
286,8.2350e-02,7.2361e-03,7.2533e-03
287,8.2297e-02,7.2189e-03,7.2361e-03
288,8.2245e-02,7.2019e-03,7.2189e-03
289,8.2194e-02,7.1850e-03,7.2019e-03
290,8.2142e-02,7.1681e-03,7.1850e-03
291,8.2091e-02,7.1514e-03,7.1681e-03
292,8.2040e-02,7.1348e-03,7.1514e-03
293,8.1989e-02,7.1183e-03,7.1348e-03
294,8.1938e-02,7.1019e-03,7.1183e-03
295,8.1888e-02,7.0856e-03,7.1019e-03
296,8.1838e-02,7.0694e-03,7.0856e-03
297,8.1788e-02,7.0533e-03,7.0694e-03
298,8.1738e-02,7.0373e-03,7.0533e-03
299,8.1689e-02,7.0213e-03,7.0373e-03
300,8.1639e-02,7.0055e-03,7.0213e-03
301,8.1590e-02,6.9898e-03,7.0055e-03
302,8.1541e-02,6.9742e-03,6.9898e-03
303,8.1493e-02,6.9586e-03,6.9742e-03
304,8.1444e-02,6.9432e-03,6.9586e-03
305,8.1396e-02,6.9278e-03,6.9432e-03
306,8.1348e-02,6.9125e-03,6.9278e-03
307,8.1301e-02,6.8974e-03,6.9125e-03
308,8.1253e-02,6.8823e-03,6.8974e-03
309,8.1206e-02,6.8673e-03,6.8823e-03
310,8.1159e-02,6.8524e-03,6.8673e-03
311,8.1112e-02,6.8375e-03,6.8524e-03
312,8.1065e-02,6.8228e-03,6.8375e-03
313,8.1019e-02,6.8081e-03,6.8228e-03
314,8.0972e-02,6.7936e-03,6.8081e-03
315,8.0926e-02,6.7791e-03,6.7936e-03
316,8.0880e-02,6.7647e-03,6.7791e-03
317,8.0835e-02,6.7503e-03,6.7647e-03
318,8.0789e-02,6.7361e-03,6.7503e-03
319,8.0744e-02,6.7219e-03,6.7361e-03
320,8.0699e-02,6.7078e-03,6.7219e-03
321,8.0654e-02,6.6938e-03,6.7078e-03
322,8.0609e-02,6.6799e-03,6.6938e-03
323,8.0564e-02,6.6660e-03,6.6799e-03
324,8.0520e-02,6.6522e-03,6.6660e-03
325,8.0476e-02,6.6385e-03,6.6522e-03
326,8.0432e-02,6.6249e-03,6.6385e-03
327,8.0388e-02,6.6114e-03,6.6249e-03
328,8.0344e-02,6.5979e-03,6.6114e-03
329,8.0301e-02,6.5845e-03,6.5979e-03
330,8.0257e-02,6.5711e-03,6.5845e-03
331,8.0214e-02,6.5579e-03,6.5711e-03
332,8.0171e-02,6.5447e-03,6.5579e-03
333,8.0129e-02,6.5316e-03,6.5447e-03
334,8.0086e-02,6.5185e-03,6.5316e-03
335,8.0043e-02,6.5055e-03,6.5185e-03
336,8.0001e-02,6.4926e-03,6.5055e-03
337,7.9959e-02,6.4798e-03,6.4926e-03
338,7.9917e-02,6.4670e-03,6.4798e-03
339,7.9875e-02,6.4543e-03,6.4670e-03
340,7.9834e-02,6.4416e-03,6.4543e-03
341,7.9792e-02,6.4291e-03,6.4416e-03
342,7.9751e-02,6.4165e-03,6.4291e-03
343,7.9710e-02,6.4041e-03,6.4165e-03
344,7.9669e-02,6.3917e-03,6.4041e-03
345,7.9628e-02,6.3794e-03,6.3917e-03
346,7.9587e-02,6.3671e-03,6.3794e-03
347,7.9547e-02,6.3549e-03,6.3671e-03
348,7.9507e-02,6.3428e-03,6.3549e-03
349,7.9466e-02,6.3307e-03,6.3428e-03
350,7.9426e-02,6.3187e-03,6.3307e-03
351,7.9386e-02,6.3068e-03,6.3187e-03
352,7.9347e-02,6.2949e-03,6.3068e-03
353,7.9307e-02,6.2831e-03,6.2949e-03
354,7.9268e-02,6.2713e-03,6.2831e-03
355,7.9228e-02,6.2596e-03,6.2713e-03
356,7.9189e-02,6.2479e-03,6.2596e-03
357,7.9150e-02,6.2363e-03,6.2479e-03
358,7.9111e-02,6.2248e-03,6.2363e-03
359,7.9073e-02,6.2133e-03,6.2248e-03
360,7.9034e-02,6.2019e-03,6.2133e-03
361,7.8996e-02,6.1905e-03,6.2019e-03
362,7.8957e-02,6.1792e-03,6.1905e-03
363,7.8919e-02,6.1680e-03,6.1792e-03
364,7.8881e-02,6.1568e-03,6.1680e-03
365,7.8843e-02,6.1456e-03,6.1568e-03
366,7.8806e-02,6.1345e-03,6.1456e-03
367,7.8768e-02,6.1235e-03,6.1345e-03
