Iteración,Valor función,Norma gradiente,Δx
0,4.1096e-01,2.9566e-01,6.2706e-01
1,3.3656e-01,2.1346e-01,2.9566e-01
2,2.9567e-01,1.7158e-01,2.1346e-01
3,2.6857e-01,1.4528e-01,1.7158e-01
4,2.4884e-01,1.2691e-01,1.4528e-01
5,2.3363e-01,1.1321e-01,1.2691e-01
6,2.2143e-01,1.0253e-01,1.1321e-01
7,2.1136e-01,9.3922e-02,1.0253e-01
8,2.0288e-01,8.6817e-02,9.3922e-02
9,1.9561e-01,8.0834e-02,8.6817e-02
10,1.8928e-01,7.5716e-02,8.0834e-02
11,1.8372e-01,7.1279e-02,7.5716e-02
12,1.7878e-01,6.7391e-02,7.1279e-02
13,1.7436e-01,6.3950e-02,6.7391e-02
14,1.7037e-01,6.0882e-02,6.3950e-02
15,1.6674e-01,5.8125e-02,6.0882e-02
16,1.6344e-01,5.5633e-02,5.8125e-02
17,1.6041e-01,5.3368e-02,5.5633e-02
18,1.5761e-01,5.1298e-02,5.3368e-02
19,1.5503e-01,4.9399e-02,5.1298e-02
20,1.5264e-01,4.7650e-02,4.9399e-02
21,1.5040e-01,4.6032e-02,4.7650e-02
22,1.4832e-01,4.4531e-02,4.6032e-02
23,1.4637e-01,4.3134e-02,4.4531e-02
24,1.4454e-01,4.1831e-02,4.3134e-02
25,1.4281e-01,4.0611e-02,4.1831e-02
26,1.4119e-01,3.9466e-02,4.0611e-02
27,1.3965e-01,3.8391e-02,3.9466e-02
28,1.3820e-01,3.7377e-02,3.8391e-02
29,1.3682e-01,3.6421e-02,3.7377e-02
30,1.3551e-01,3.5516e-02,3.6421e-02
31,1.3426e-01,3.4660e-02,3.5516e-02
32,1.3307e-01,3.3847e-02,3.4660e-02
33,1.3194e-01,3.3075e-02,3.3847e-02
34,1.3086e-01,3.2340e-02,3.3075e-02
35,1.2982e-01,3.1640e-02,3.2340e-02
36,1.2883e-01,3.0972e-02,3.1640e-02
37,1.2788e-01,3.0334e-02,3.0972e-02
38,1.2697e-01,2.9724e-02,3.0334e-02
39,1.2610e-01,2.9140e-02,2.9724e-02
40,1.2526e-01,2.8580e-02,2.9140e-02
41,1.2445e-01,2.8044e-02,2.8580e-02
42,1.2367e-01,2.7528e-02,2.8044e-02
43,1.2292e-01,2.7033e-02,2.7528e-02
44,1.2219e-01,2.6557e-02,2.7033e-02
45,1.2149e-01,2.6098e-02,2.6557e-02
46,1.2082e-01,2.5656e-02,2.6098e-02
47,1.2017e-01,2.5230e-02,2.5656e-02
48,1.1954e-01,2.4819e-02,2.5230e-02
49,1.1892e-01,2.4422e-02,2.4819e-02
50,1.1833e-01,2.4039e-02,2.4422e-02
51,1.1776e-01,2.3669e-02,2.4039e-02
52,1.1720e-01,2.3310e-02,2.3669e-02
53,1.1666e-01,2.2963e-02,2.3310e-02
54,1.1614e-01,2.2627e-02,2.2963e-02
55,1.1563e-01,2.2301e-02,2.2627e-02
56,1.1514e-01,2.1986e-02,2.2301e-02
57,1.1466e-01,2.1679e-02,2.1986e-02
58,1.1419e-01,2.1382e-02,2.1679e-02
59,1.1374e-01,2.1094e-02,2.1382e-02
60,1.1330e-01,2.0813e-02,2.1094e-02
61,1.1287e-01,2.0541e-02,2.0813e-02
62,1.1245e-01,2.0276e-02,2.0541e-02
63,1.1204e-01,2.0018e-02,2.0276e-02
64,1.1164e-01,1.9767e-02,2.0018e-02
65,1.1125e-01,1.9523e-02,1.9767e-02
66,1.1087e-01,1.9285e-02,1.9523e-02
67,1.1050e-01,1.9053e-02,1.9285e-02
68,1.1014e-01,1.8828e-02,1.9053e-02
69,1.0979e-01,1.8607e-02,1.8828e-02
70,1.0944e-01,1.8393e-02,1.8607e-02
71,1.0911e-01,1.8183e-02,1.8393e-02
72,1.0878e-01,1.7979e-02,1.8183e-02
73,1.0846e-01,1.7779e-02,1.7979e-02
74,1.0814e-01,1.7584e-02,1.7779e-02
75,1.0784e-01,1.7394e-02,1.7584e-02
76,1.0754e-01,1.7208e-02,1.7394e-02
77,1.0724e-01,1.7026e-02,1.7208e-02
78,1.0695e-01,1.6848e-02,1.7026e-02
79,1.0667e-01,1.6674e-02,1.6848e-02
80,1.0639e-01,1.6504e-02,1.6674e-02
81,1.0612e-01,1.6337e-02,1.6504e-02
82,1.0586e-01,1.6174e-02,1.6337e-02
83,1.0560e-01,1.6015e-02,1.6174e-02
84,1.0534e-01,1.5858e-02,1.6015e-02
85,1.0509e-01,1.5705e-02,1.5858e-02
86,1.0485e-01,1.5555e-02,1.5705e-02
87,1.0461e-01,1.5409e-02,1.5555e-02
88,1.0437e-01,1.5265e-02,1.5409e-02
89,1.0414e-01,1.5123e-02,1.5265e-02
90,1.0391e-01,1.4985e-02,1.5123e-02
91,1.0369e-01,1.4849e-02,1.4985e-02
92,1.0347e-01,1.4716e-02,1.4849e-02
93,1.0325e-01,1.4585e-02,1.4716e-02
94,1.0304e-01,1.4457e-02,1.4585e-02
95,1.0283e-01,1.4331e-02,1.4457e-02
96,1.0263e-01,1.4208e-02,1.4331e-02
97,1.0243e-01,1.4086e-02,1.4208e-02
98,1.0223e-01,1.3967e-02,1.4086e-02
99,1.0203e-01,1.3850e-02,1.3967e-02
100,1.0184e-01,1.3735e-02,1.3850e-02
101,1.0165e-01,1.3622e-02,1.3735e-02
102,1.0147e-01,1.3511e-02,1.3622e-02
103,1.0129e-01,1.3402e-02,1.3511e-02
104,1.0111e-01,1.3295e-02,1.3402e-02
105,1.0093e-01,1.3189e-02,1.3295e-02
106,1.0076e-01,1.3086e-02,1.3189e-02
107,1.0059e-01,1.2984e-02,1.3086e-02
108,1.0042e-01,1.2883e-02,1.2984e-02
109,1.0026e-01,1.2785e-02,1.2883e-02
110,1.0009e-01,1.2688e-02,1.2785e-02
111,9.9932e-02,1.2592e-02,1.2688e-02
112,9.9774e-02,1.2498e-02,1.2592e-02
113,9.9619e-02,1.2405e-02,1.2498e-02
114,9.9466e-02,1.2314e-02,1.2405e-02
115,9.9314e-02,1.2224e-02,1.2314e-02
116,9.9166e-02,1.2136e-02,1.2224e-02
117,9.9019e-02,1.2049e-02,1.2136e-02
118,9.8874e-02,1.1963e-02,1.2049e-02
119,9.8732e-02,1.1879e-02,1.1963e-02
120,9.8591e-02,1.1796e-02,1.1879e-02
121,9.8452e-02,1.1714e-02,1.1796e-02
122,9.8316e-02,1.1633e-02,1.1714e-02
123,9.8181e-02,1.1553e-02,1.1633e-02
124,9.8048e-02,1.1475e-02,1.1553e-02
125,9.7916e-02,1.1397e-02,1.1475e-02
126,9.7787e-02,1.1321e-02,1.1397e-02
127,9.7659e-02,1.1246e-02,1.1321e-02
128,9.7533e-02,1.1172e-02,1.1246e-02
129,9.7409e-02,1.1099e-02,1.1172e-02
130,9.7286e-02,1.1027e-02,1.1099e-02
131,9.7165e-02,1.0956e-02,1.1027e-02
132,9.7045e-02,1.0885e-02,1.0956e-02
133,9.6927e-02,1.0816e-02,1.0885e-02
134,9.6810e-02,1.0748e-02,1.0816e-02
135,9.6695e-02,1.0680e-02,1.0748e-02
136,9.6582e-02,1.0614e-02,1.0680e-02
137,9.6469e-02,1.0548e-02,1.0614e-02
138,9.6358e-02,1.0483e-02,1.0548e-02
139,9.6249e-02,1.0420e-02,1.0483e-02
140,9.6140e-02,1.0356e-02,1.0420e-02
141,9.6034e-02,1.0294e-02,1.0356e-02
142,9.5928e-02,1.0232e-02,1.0294e-02
143,9.5824e-02,1.0172e-02,1.0232e-02
144,9.5720e-02,1.0112e-02,1.0172e-02
145,9.5618e-02,1.0052e-02,1.0112e-02
146,9.5518e-02,9.9938e-03,1.0052e-02
147,9.5418e-02,9.9360e-03,9.9938e-03
148,9.5320e-02,9.8789e-03,9.9360e-03
149,9.5222e-02,9.8224e-03,9.8789e-03
150,9.5126e-02,9.7666e-03,9.8224e-03
151,9.5031e-02,9.7115e-03,9.7666e-03
152,9.4937e-02,9.6571e-03,9.7115e-03
153,9.4844e-02,9.6033e-03,9.6571e-03
154,9.4752e-02,9.5501e-03,9.6033e-03
155,9.4661e-02,9.4975e-03,9.5501e-03
156,9.4571e-02,9.4456e-03,9.4975e-03
157,9.4482e-02,9.3942e-03,9.4456e-03
158,9.4394e-02,9.3434e-03,9.3942e-03
159,9.4307e-02,9.2932e-03,9.3434e-03
160,9.4221e-02,9.2436e-03,9.2932e-03
161,9.4136e-02,9.1945e-03,9.2436e-03
162,9.4051e-02,9.1460e-03,9.1945e-03
163,9.3968e-02,9.0980e-03,9.1460e-03
164,9.3885e-02,9.0505e-03,9.0980e-03
165,9.3804e-02,9.0036e-03,9.0505e-03
166,9.3723e-02,8.9571e-03,9.0036e-03
167,9.3643e-02,8.9112e-03,8.9571e-03
168,9.3564e-02,8.8658e-03,8.9112e-03
169,9.3485e-02,8.8208e-03,8.8658e-03
170,9.3408e-02,8.7764e-03,8.8208e-03
171,9.3331e-02,8.7324e-03,8.7764e-03
172,9.3255e-02,8.6888e-03,8.7324e-03
173,9.3179e-02,8.6457e-03,8.6888e-03
174,9.3105e-02,8.6031e-03,8.6457e-03
175,9.3031e-02,8.5609e-03,8.6031e-03
176,9.2958e-02,8.5192e-03,8.5609e-03
177,9.2885e-02,8.4778e-03,8.5192e-03
178,9.2814e-02,8.4369e-03,8.4778e-03
179,9.2743e-02,8.3964e-03,8.4369e-03
180,9.2672e-02,8.3564e-03,8.3964e-03
181,9.2603e-02,8.3167e-03,8.3564e-03
182,9.2534e-02,8.2774e-03,8.3167e-03
183,9.2465e-02,8.2385e-03,8.2774e-03
184,9.2398e-02,8.2000e-03,8.2385e-03
185,9.2331e-02,8.1619e-03,8.2000e-03
186,9.2264e-02,8.1241e-03,8.1619e-03
187,9.2198e-02,8.0867e-03,8.1241e-03
188,9.2133e-02,8.0497e-03,8.0867e-03
189,9.2068e-02,8.0130e-03,8.0497e-03
190,9.2004e-02,7.9767e-03,8.0130e-03
191,9.1941e-02,7.9407e-03,7.9767e-03
192,9.1878e-02,7.9051e-03,7.9407e-03
